,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
606,45.82204,-90.089055,2017,-1.63333333333333,0.11803529142158735,0.13322129707432587,0.12009777709877015,0.29585211213811013,0.17827515086700788,0.13505461767626614,Fri Jul 28 02:46:11 2017
607,45.797373,-90.092307,2017,-3.13333333333333,0.11348254526010236,0.12083110533954625,0.11424642884424414,0.19465281491100755,0.13597127797723627,0.12012833244213582,Fri Jul 28 02:46:11 2017
608,45.812246,-90.092743,2017,-1.46666666666667,0.3652891299365977,0.3787640363608586,0.3821556794744481,0.45836070582843175,0.38203345810098543,0.3403101367351616,Fri Jul 28 02:46:11 2017
609,39.052686,-95.185979,2018,-0.9,0.1221449851042701,0.1377434878924452,0.12559773890459094,0.34606981895959055,0.21063325949125353,0.1481934153235047,Fri Jul 13 02:59:45 2018
610,39.038041,-95.187902,2018,-1.55,0.12486441066381483,0.13604766633565044,0.12530746314261706,0.333954625315102,0.2040485829959514,0.14504621495684059,Fri Jul 13 02:59:45 2018
611,39.052642,-95.188064,2018,-1.35,0.12446719120006111,0.13781987625085937,0.12552135054617677,0.34399205561072493,0.20733328240776105,0.1471239783057062,Fri Jul 13 02:59:45 2018
612,39.033692,-95.189911,2018,2.06666666666667,0.12289359101672905,0.13248796883354977,0.12293942403177756,0.31378809869375907,0.19359865556489192,0.14107402031930333,Fri Jul 13 02:59:45 2018
613,39.036615,-95.192035,2018,0.1,0.12350469788404247,0.13389351462837062,0.12406997173630739,0.33438240012222137,0.19864028722022764,0.14251012145748987,Fri Jul 13 02:59:45 2018
614,39.035201,-95.194409,2018,-1.03333333333333,0.1234741425406768,0.1335726835230311,0.12379497364601634,0.3305629822015125,0.1999236116415858,0.14342678175846002,Fri Jul 13 02:59:45 2018
615,39.037623,-95.196953,2018,-1.03333333333333,0.1252310747842029,0.13627683141089297,0.1257046826063708,0.34318233901153467,0.2063249560766939,0.14610037430295622,Fri Jul 13 02:59:45 2018
616,39.041659,-95.19703,2018,-3.43333333333333,0.124849132992132,0.1373615461003743,0.12625467878695287,0.32069360629440075,0.20818883202199984,0.14860591245894125,Fri Jul 13 02:59:45 2018
617,39.033807,-95.198575,2018,-1.425,0.12225192880604996,0.13528378275150868,0.12406997173630739,0.33859903750668396,0.20003055534336567,0.14348789244519136,Fri Jul 13 02:59:45 2018
618,39.045354,-95.201392,2018,-4.0,0.13164769689099381,0.15036284470246736,0.1486670231456726,0.28187304254831563,0.25599266671759224,0.1842639981666794,Fri Jul 13 02:59:45 2018
619,39.043184,-95.202721,2018,-0.333333333333333,0.12309220074860591,0.1358643342754564,0.12497135436559469,0.31540753189213966,0.20462913451989917,0.14768925215797113,Fri Jul 13 02:59:45 2018
620,39.054509,-95.204735,2018,-1.93333333333333,0.12362691925750516,0.1368421052631579,0.12555190588954243,0.3466045374684898,0.20933465739821253,0.14727675502253457,Fri Jul 13 02:59:45 2018
621,39.037233,-95.205279,2018,-1.36666666666667,0.12222137346268429,0.13652127415781834,0.1285463295393782,0.29696738217095714,0.19489725765793292,0.14735314338094874,Fri Jul 13 02:59:45 2018
622,39.046329,-95.208663,2018,0.766666666666667,0.12359636391413949,0.13815598502788176,0.12564357191963946,0.3463600947215644,0.20087082728592162,0.1451837140019861,Fri Jul 13 02:59:45 2018
623,39.086976,-96.544716,2017,-3.6,0.1252310747842029,0.14287678557787792,0.13690321594988925,0.25336490718814453,0.20611106867313422,0.15693224352608662,Mon Jul 17 03:06:37 2017
624,39.108081,-96.545368,2017,-2.5,0.13623099839584446,0.1539989305629822,0.14749064242609428,0.30732564357191966,0.2612634634481705,0.1845695516003361,Mon Jul 17 03:06:37 2017
625,39.119992,-96.546015,2017,-3.2,0.13610877702238178,0.15931556030860897,0.15303643724696356,0.3521961653044076,0.2801313879764724,0.191734779619586,Mon Jul 17 03:06:37 2017
626,39.110568,-96.550145,2017,-3.3,0.2572148804522191,0.2866243984416775,0.2841341379573753,0.40401802765258576,0.34113513100603465,0.2988923688029944,Mon Jul 17 03:06:37 2017
627,39.110903,-96.552209,2017,-2.02,0.0767855778779314,0.13433656710717287,0.11672141165686349,0.3761821098464594,0.2478038346955924,0.17607516614467955,Mon Jul 17 03:06:37 2017
628,39.075067,-96.555874,2017,-3.0,0.13063937055992667,0.1497822931785196,0.1446184401497212,0.3052020472080055,0.23849973264074556,0.17612099915972806,Mon Jul 17 03:06:37 2017
629,39.088085,-96.55852,2017,-4.1,0.5459475975861279,0.5344587884806355,0.5401573600183333,0.5693682682759148,0.46470093957680847,0.3957986402872202,Mon Jul 17 03:06:37 2017
630,39.102192,-96.56118,2017,-1.9,0.12301581239019173,0.1425712321442212,0.1319379726529677,0.29336185165380796,0.20701245130242152,0.15256282942479565,Mon Jul 17 03:06:37 2017
631,39.1095,-96.561283,2017,-2.7,0.3461614849896876,0.37719043617752657,0.37340157360018333,0.4575509892292415,0.3999236116415858,0.36026277595294476,Mon Jul 17 03:06:37 2017
632,39.103827,-96.561811,2017,-3.0,0.13840042777480713,0.161912764494691,0.15444198304178444,0.35797112520051944,0.2600718050569093,0.186158429455351,Mon Jul 17 03:06:37 2017
633,39.103068,-96.563925,2017,-3.1,0.11287143839278894,0.12846994118096403,0.11853945458712092,0.23335115728362998,0.15875028645634406,0.1315560308608968,Mon Jul 17 03:06:37 2017
634,39.09957,-96.564404,2017,-2.9,0.17512795050034374,0.18504315942250402,0.1870139790695898,0.3105645099686808,0.22620120693606294,0.20458330150485066,Mon Jul 17 03:06:37 2017
635,39.082563,-96.566704,2017,-0.6,0.131815751279505,0.1619891528531052,0.15253227408143,0.3593766709953403,0.2461385684821633,0.17981819570697427,Mon Jul 17 03:06:37 2017
636,39.088076,-96.570347,2017,-2.1,0.22633870598120848,0.2766175234894202,0.2752272553662822,0.4115651974639065,0.36128637995569474,0.30358261400962494,Mon Jul 17 03:06:37 2017
637,39.073755,-96.571173,2017,-0.7,0.44236498357650295,0.45987319532503246,0.4666259262088458,0.5662974562676648,0.49262852341303187,0.42143457337101825,Mon Jul 17 03:06:37 2017
638,39.084519,-96.582247,2017,-3.9,0.11339087923000535,0.12144221220685968,0.11768390497288213,0.16146971201588878,0.13853792681995264,0.12585745932319914,Mon Jul 17 03:06:37 2017
639,39.221583,-96.582637,2019,6.9,0.13581850126040793,0.15650446871896723,0.15351004506913146,0.29314796425024825,0.27253838515010315,0.22067068978687648,Tue Jul 23 03:06:46 2019
